time,ee_x,ee_y,ee_z,tgt_x,tgt_y,tension_N,pos_error_m,cable_taut,cable_dist_m
0.0000,0.31424,0.00000,0.41287,0.55000,0.43301,0.0000,0.49320,1,0.48593
0.0200,0.31390,0.00266,0.41273,0.54999,0.43301,0.0000,0.49102,1,0.48628
0.0400,0.31296,0.01020,0.41236,0.54996,0.43299,0.0000,0.48485,1,0.48731
0.0600,0.31170,0.02156,0.41191,0.54992,0.43297,0.0000,0.47555,1,0.48892
0.0800,0.31037,0.03615,0.41151,0.54986,0.43293,0.0000,0.46360,1,0.49109
0.1000,0.30912,0.05355,0.41127,0.54978,0.43288,0.0000,0.44937,1,0.49392
0.1200,0.30799,0.07347,0.41133,0.54968,0.43283,0.0000,0.43322,1,0.49759
0.1400,0.30834,0.09529,0.41193,0.54956,0.43276,71.2798,0.41498,1,0.50095
0.1600,0.31365,0.11834,0.41397,0.54943,0.43268,36.2614,0.39319,1,0.50074
0.1800,0.32057,0.14330,0.41742,0.54928,0.43259,47.2725,0.36919,1,0.50069
0.2000,0.32935,0.16951,0.42229,0.54911,0.43250,56.7348,0.34344,1,0.50074
0.2200,0.34013,0.19621,0.42854,0.54892,0.43239,62.5604,0.31652,1,0.50079
0.2400,0.35281,0.22254,0.43602,0.54871,0.43227,63.3922,0.28924,1,0.50080
0.2600,0.36705,0.24767,0.44437,0.54849,0.43214,59.1080,0.26252,1,0.50076
0.2800,0.38234,0.27095,0.45304,0.54825,0.43200,51.1488,0.23722,1,0.50067
0.3000,0.39812,0.29203,0.46140,0.54799,0.43185,41.7626,0.21396,1,0.50055
0.3200,0.41388,0.31083,0.46883,0.54771,0.43168,32.9076,0.19302,1,0.50044
0.3400,0.42922,0.32749,0.47486,0.54742,0.43151,25.6233,0.17434,1,0.50033
0.3600,0.44387,0.34227,0.47916,0.54711,0.43133,20.1554,0.15766,1,0.50024
0.3800,0.45765,0.35541,0.48155,0.54678,0.43114,16.3308,0.14258,1,0.50017
0.4000,0.47048,0.36717,0.48199,0.54643,0.43093,13.8106,0.12868,1,0.50012
0.4200,0.48231,0.37773,0.48051,0.54607,0.43072,12.2557,0.11556,1,0.50009
0.4400,0.49315,0.38724,0.47721,0.54569,0.43049,11.3841,0.10292,1,0.50007
0.4600,0.50304,0.39580,0.47225,0.54529,0.43026,10.9771,0.09051,1,0.50006
0.4800,0.51202,0.40348,0.46582,0.54487,0.43001,10.8693,0.07820,1,0.50006
0.5000,0.52016,0.41033,0.45814,0.54444,0.42975,10.9364,0.06593,1,0.50006
0.5200,0.52753,0.41639,0.44943,0.54399,0.42949,11.0863,0.05371,1,0.50007
0.5400,0.53420,0.42169,0.43993,0.54352,0.42921,11.2527,0.04168,1,0.50007
0.5600,0.54023,0.42626,0.42988,0.54303,0.42892,11.3908,0.03013,1,0.50007
0.5800,0.54571,0.43015,0.41951,0.54253,0.42861,11.4728,0.01983,1,0.50007
0.6000,0.55069,0.43340,0.40904,0.54201,0.42830,11.4854,0.01353,1,0.50007
0.6200,0.55523,0.43606,0.39867,0.54148,0.42798,11.4264,0.01601,1,0.50007
0.6400,0.55937,0.43821,0.38859,0.54092,0.42764,11.3016,0.02413,1,0.50006
0.6600,0.56317,0.43991,0.37894,0.54035,0.42730,11.1222,0.03351,1,0.50006
0.6800,0.56665,0.44124,0.36988,0.53976,0.42694,10.9027,0.04283,1,0.50005
0.7000,0.56983,0.44225,0.36150,0.53916,0.42657,10.6587,0.05166,1,0.50004
